Object ID,Shape,Length/Dia,Width/Rad,Height,Volume (L),Timestamp
ID #01,BOX,340.5,211.5,160.0,11.52,14:13:35
ID #02,SQUARE,263.7,263.7,130.0,9.04,14:13:35
ID #03,BOX,201.8,58.2,150.0,1.76,14:13:38
ID #04,BOX,241.9,66.1,180.0,2.88,14:13:42
ID #05,BOX,245.0,74.8,130.0,2.38,14:13:47
ID #06,BOX,211.5,64.5,160.0,2.18,14:13:51
